year,month,interest_rate,unemployment_rate,index_price
2022,1,2.95,8.58,96.81
2022,2,6.77,7.68,84.8
2022,3,8.26,2.94,78.5
2022,4,5.77,5.68,54.86
2022,5,5.53,4.65,80.75
2022,6,2.8,4.44,99.5
2022,7,1.38,11.73,57.0
2022,8,9.02,5.93,75.92
2022,9,9.05,10.92,93.87
2022,10,6.51,8.31,87.04
2022,11,3.72,9.95,84.85
2022,12,3.82,7.03,85.12
2023,1,7.4,7.77,67.97
2023,2,9.02,6.93,64.68
2023,3,8.93,3.95,90.47
2023,4,7.91,9.22,90.51
2023,5,6.6,4.81,93.35
2023,6,1.3,2.24,95.66
2023,7,2.04,8.45,75.57
2023,8,9.04,3.77,75.08
2023,9,6.26,11.4,89.91
2023,10,0.59,11.54,82.5
2023,11,1.46,11.15,85.1
2023,12,6.8,5.7,89.79
2024,1,0.55,2.15,94.5
2024,2,2.03,11.28,66.9
2024,3,5.71,6.28,68.78
2024,4,7.07,11.67,54.7
2024,5,6.69,11.64,78.91
2024,6,2.63,10.53,51.8
2024,7,7.27,4.94,73.28
2024,8,2.75,5.85,77.13
2024,9,3.59,10.51,64.33
2024,10,7.59,5.17,79.54
2024,11,6.67,3.69,51.53
2024,12,8.57,7.57,51.87
